;Setname;Set;Main;Second
2990;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Technik;dnb-appr:wv:reiheO:sg600;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Technik
2991;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Medizin, Gesundheit;dnb-appr:wv:reiheO:sg610;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Medizin, Gesundheit
2992;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Ingenieurwissenschaften;dnb-appr:wv:reiheO:sg620;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Ingenieurwissenschaften
2993;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Elektrotechnik, Elektronik;dnb-appr:wv:reiheO:sg621.3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Elektrotechnik, Elektronik
2994;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Ingenieurbau und Umwelttechnik;dnb-appr:wv:reiheO:sg624;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Ingenieurbau und Umwelttechnik
2995;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Landwirtschaft, VeterinÑrmedizin;dnb-appr:wv:reiheO:sg630;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Landwirtschaft, VeterinÑrmedizin
2996;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Hauswirtschaft;dnb-appr:wv:reiheO:sg640;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Hauswirtschaft
2997;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Management;dnb-appr:wv:reiheO:sg650;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Management
2998;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Technische Chemie;dnb-appr:wv:reiheO:sg660;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Technische Chemie
2999;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Industrielle Fertigung;dnb-appr:wv:reiheO:sg670;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Industrielle Fertigung
3000;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Hausbau, Bauhandwerk;dnb-appr:wv:reiheO:sg690;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Hausbau, Bauhandwerk
3001;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - KÅnste und Unterhaltung;dnb-appr:wv:reiheO:sg7;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;KÅnste und Unterhaltung
3002;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - KÅnste, Bildende Kunst allgemein;dnb-appr:wv:reiheO:sg700;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;KÅnste, Bildende Kunst allgemein
3003;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Landschaftsgestaltung, Raumplanung;dnb-appr:wv:reiheO:sg710;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Landschaftsgestaltung, Raumplanung
3004;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Architektur;dnb-appr:wv:reiheO:sg720;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Architektur
3005;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Plastik, Numismatik, Keramik, Metallkunst;dnb-appr:wv:reiheO:sg730;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Plastik, Numismatik, Keramik, Metallkunst
3006;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Zeichnung, Kunsthandwerk;dnb-appr:wv:reiheO:sg740;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Zeichnung, Kunsthandwerk
3007;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Comics, Cartoon, Karikaturen;dnb-appr:wv:reiheO:sg741.5;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Comics, Cartoon, Karikaturen
3008;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Malerei;dnb-appr:wv:reiheO:sg750;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Malerei
3009;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Grafische Verfahren, Drucke;dnb-appr:wv:reiheO:sg760;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Grafische Verfahren, Drucke
3010;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Fotografie, Computerkunst;dnb-appr:wv:reiheO:sg770;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Fotografie, Computerkunst
3011;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Musik;dnb-appr:wv:reiheO:sg780;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Musik
3012;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Freizeitgestaltung, Darstellende Kunst;dnb-appr:wv:reiheO:sg790;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Freizeitgestaltung, Darstellende Kunst
3013;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - ôffentliche Darbietungen, Film, Rundfunk;dnb-appr:wv:reiheO:sg791;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;ôffentliche Darbietungen, Film, Rundfunk
3014;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Theater, Tanz;dnb-appr:wv:reiheO:sg792;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Theater, Tanz
3015;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Spiel;dnb-appr:wv:reiheO:sg793;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Spiel
3016;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Sport;dnb-appr:wv:reiheO:sg796;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Sport
3017;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Literatur;dnb-appr:wv:reiheO:sg8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Literatur
3018;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Literatur, Rhetorik, Literaturwissenschaft;dnb-appr:wv:reiheO:sg800;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Literatur, Rhetorik, Literaturwissenschaft
3019;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Englische Literatur Amerikas;dnb-appr:wv:reiheO:sg810;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Englische Literatur Amerikas
3020;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Englische Literatur;dnb-appr:wv:reiheO:sg820;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Englische Literatur
3021;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Deutsche Literatur;dnb-appr:wv:reiheO:sg830;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Deutsche Literatur
3022;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Literatur in anderen germanischen Sprachen;dnb-appr:wv:reiheO:sg839;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Literatur in anderen germanischen Sprachen
3023;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Franzîsische Literatur;dnb-appr:wv:reiheO:sg840;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Franzîsische Literatur
3024;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Italienische, rumÑnische, rÑtoromanische Literatur;dnb-appr:wv:reiheO:sg850;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Italienische, rumÑnische, rÑtoromanische Literatur
3025;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Spanische und portugiesische Literatur;dnb-appr:wv:reiheO:sg860;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Spanische und portugiesische Literatur
3026;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Lateinische Literatur;dnb-appr:wv:reiheO:sg870;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Lateinische Literatur
3027;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Griechische Literatur;dnb-appr:wv:reiheO:sg880;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Griechische Literatur
3028;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Literatur in anderen Sprachen;dnb-appr:wv:reiheO:sg890;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Literatur in anderen Sprachen
3029;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Slawische Literatur;dnb-appr:wv:reiheO:sg891.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Slawische Literatur
3030;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte und Geografie;dnb-appr:wv:reiheO:sg9;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte und Geografie
3031;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte;dnb-appr:wv:reiheO:sg900;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte
3032;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geografie, Reisen;dnb-appr:wv:reiheO:sg910;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geografie, Reisen
3033;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geografie, Reisen (Deutschland);dnb-appr:wv:reiheO:sg914.3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geografie, Reisen (Deutschland)
3034;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Biografie, Genealogie, Heraldik;dnb-appr:wv:reiheO:sg920;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Biografie, Genealogie, Heraldik
3035;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Alte Geschichte, ArchÑologie;dnb-appr:wv:reiheO:sg930;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Alte Geschichte, ArchÑologie
3036;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte Europas;dnb-appr:wv:reiheO:sg940;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte Europas
3037;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte Deutschlands;dnb-appr:wv:reiheO:sg943;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte Deutschlands
3038;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte Asiens;dnb-appr:wv:reiheO:sg950;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte Asiens
3039;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte Afrikas;dnb-appr:wv:reiheO:sg960;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte Afrikas
3040;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte Nordamerikas;dnb-appr:wv:reiheO:sg970;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte Nordamerikas
3041;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte SÅdamerikas;dnb-appr:wv:reiheO:sg980;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte SÅdamerikas
3042;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Geschichte der Åbrigen Welt;dnb-appr:wv:reiheO:sg990;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Geschichte der Åbrigen Welt
3043;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Belletristik;dnb-appr:wv:reiheO:sgB;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Belletristik
3044;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Kinder- und Jugendliteratur;dnb-appr:wv:reiheO:sgK;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Kinder- und Jugendliteratur
3045;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - SchulbÅcher;dnb-appr:wv:reiheO:sgS;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;SchulbÅcher
3046;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Abgeschlossene Verîffentlichungen;dnb-appr:wv:reiheO:sgY;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Abgeschlossene Verîffentlichungen
3047;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - Berichtigungen;dnb-appr:wv:reiheO:sgZ;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;Berichtigungen
3048;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen - BestandssÑtze;dnb-appr:wv:reiheO:holdings;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Online-Publikationen;BestandssÑtze
3049;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Musiktontraeger;dnb-appr:wv:reiheT;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Musiktontraeger;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Musiktontraeger
3050;Meldungen der Verleger an das Verzeichnis Lieferbarer BÅcher (nicht Bestandteil der Deutschen Nationalbibliografie);dnb-all:reiheN;Meldungen der Verleger an das Verzeichnis Lieferbarer BÅcher (nicht Bestandteil der Deutschen Nationalbibliografie);Meldungen der Verleger an das Verzeichnis Lieferbarer BÅcher (nicht Bestandteil der Deutschen Nationalbibliografie)
